Queens South,,
Backing Unsafely,3,34
Bike Lane,8,111
Bus Lane,47,203
Cell Phone,97,1741
Commercial Veh on Pkwy,2,26
Cruising For Passengers,0,1
Disobey Traffic Control Device,382,5924
Driving Too Slow,0,3
Equipment,132,1868
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,1,3
Fail to yield Right of Way to Pedestrian,172,3049
Failure to Signal,44,1145
Failure to yield Right of Way to Vehicle,0,1
Following Too Closely,1,14
Improper Passing,11,165
Improper Taxi Pickup,0,3
Improper Turn,204,3809
Improper/Missing Plates,16,184
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),1,38
Not Giving R of W to Veh.,2,51
Obstructed Plate,62,539
One Way Street,9,87
Overheight,0,0
Overlength,0,2
Overweight,0,1
Overwidth,0,0
Pavement Markings,3,29
Red Light,222,3372
School Bus,0,61
Scooter In NYC,0,0
Seat Belt,176,3029
Speeding,263,6284
Spillback,0,12
TBTA Rule,0,0
Tints,67,819
TLC (Other),0,0
Truck Route,0,166
Uninspected,24,267
Uninsured,72,767
Unlicensed Operator,283,3846
Unregistered,128,1414
Unsafe Lane Change,7,52
Other Movers,441,5858
TOTAL Movers,2880,44981
