63rd Precinct,,
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,1,14
Cell Phone,26,167
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,73,409
Driving Too Slow,0,0
Equipment,11,63
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,54,323
Failure to Signal,3,13
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,2
Improper Passing,1,4
Improper Taxi Pickup,0,0
Improper Turn,20,113
Improper/Missing Plates,1,3
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,3
Obstructed Plate,13,74
One Way Street,1,5
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,51,345
School Bus,2,2
Scooter In NYC,0,0
Seat Belt,44,199
Speeding,116,564
Spillback,0,0
TBTA Rule,0,0
Tints,5,41
TLC (Other),0,0
Truck Route,0,2
Uninspected,1,3
Uninsured,1,29
Unlicensed Operator,26,165
Unregistered,16,104
Unsafe Lane Change,2,9
Other Movers,53,375
TOTAL Movers,522,3033
