"Moving Violations",,
"Transportation Bureau",,
"   April ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",2,27
"Bike Lane",0,21
"Bus Lane",1,175
"Cell Phone",24,765
"Commercial Veh on Pkwy",59,852
"Cruising For Passengers",0,5
"Disobey Traffic Control Device",245,10642
"Driving Too Slow",0,0
Equipment,391,2674
"Equipment (Other)",0,7
"Excessive Noise",0,1
"Fail to Keep Right",0,15
"Fail to yield Right of Way to Pedestrian",6,3007
"Failure to Signal",69,893
"Failure to yield Right of Way to Vehicle",0,5
"Following Too Closely",19,175
"Improper Passing",11,132
"Improper Taxi Pickup",0,378
"Improper Turn",11,3707
"Improper/Missing Plates",13,60
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",2,34
"Not Giving R of W to Veh.",3,76
"Obstructed Plate",31,526
"One Way Street",10,485
Overheight,6,35
Overlength,25,176
Overweight,147,549
Overwidth,13,91
"Pavement Markings",0,46
"Red Light",30,1097
"School Bus",0,28
"Scooter In NYC",0,0
"Seat Belt",66,1820
Speeding,6426,28724
Spillback,0,565
"TBTA Rule",0,0
Tints,156,2345
"TLC (Other)",0,0
"Truck Route",39,907
Uninspected,23,320
Uninsured,39,561
"Unlicensed Operator",429,2425
Unregistered,81,783
"Unsafe Lane Change",60,596
"Other Movers",145,3965
"TCDTOTAL Movers ",8582,69696
"* All figures are preliminary and subject to change.",,
