Citywide,,
Backing Unsafely,16,42
Bike Lane,74,164
Bus Lane,281,772
Cell Phone,1233,2491
Commercial Veh on Pkwy,145,277
Cruising For Passengers,16,28
Disobey Traffic Control Device,6520,13819
Driving Too Slow,2,3
Equipment,1195,2547
Equipment (Other),1,5
Excessive Noise,0,0
Fail to Keep Right,3,17
Fail to yield Right of Way to Pedestrian,2513,5370
Failure to Signal,534,1127
Failure to yield Right of Way to Vehicle,3,4
Following Too Closely,33,68
Improper Passing,60,140
Improper Taxi Pickup,16,47
Improper Turn,2417,5067
Improper/Missing Plates,124,309
Lamps and Other Equipment on Bicycle,3,6
Motorcycle (Other),13,35
Not Giving R of W to Veh.,63,112
Obstructed Plate,1068,2448
One Way Street,96,249
Overheight,6,10
Overlength,36,60
Overweight,85,167
Overwidth,30,45
Pavement Markings,20,33
Red Light,3378,7120
School Bus,16,49
Scooter In NYC,0,0
Seat Belt,2294,4787
Speeding,8852,21605
Spillback,17,43
TBTA Rule,0,0
Tints,1632,3574
TLC (Other),0,0
Truck Route,116,241
Uninspected,268,623
Uninsured,631,1428
Unlicensed Operator,2832,6391
Unregistered,1255,2897
Unsafe Lane Change,155,345
Other Movers,3347,6920
TOTAL Movers,41399,91485
