66th Precinct,,
Backing Unsafely,0,4
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,25,363
Commercial Veh on Pkwy,1,42
Cruising For Passengers,0,0
Disobey Traffic Control Device,51,889
Driving Too Slow,0,0
Equipment,26,116
Equipment (Other),0,2
Excessive Noise,0,1
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,18,197
Failure to Signal,2,15
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,5
Improper Taxi Pickup,0,0
Improper Turn,1,9
Improper/Missing Plates,23,93
Lamps and Other Equipment on Bicycle,0,3
Motorcycle (Other),2,8
Not Giving R of W to Veh.,0,4
Obstructed Plate,14,182
One Way Street,3,23
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,28,545
School Bus,1,3
Scooter In NYC,0,0
Seat Belt,17,506
Speeding,20,344
Spillback,0,0
TBTA Rule,0,0
Tints,2,122
TLC (Other),0,0
Truck Route,1,8
Uninspected,17,93
Uninsured,17,105
Unlicensed Operator,32,242
Unregistered,35,211
Unsafe Lane Change,0,0
Other Movers,39,743
TOTAL Movers,375,4879
