70th Precinct,,
Backing Unsafely,0,1
Bike Lane,0,0
Bus Lane,0,3
Cell Phone,24,262
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1,859
Driving Too Slow,0,0
Equipment,2,93
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,33,747
Failure to Signal,17,244
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,1,15
Improper Taxi Pickup,0,1
Improper Turn,6,314
Improper/Missing Plates,0,10
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),3,7
Not Giving R of W to Veh.,0,2
Obstructed Plate,1,16
One Way Street,0,12
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,29,469
School Bus,0,3
Scooter In NYC,0,0
Seat Belt,48,555
Speeding,81,478
Spillback,0,1
TBTA Rule,0,0
Tints,0,33
TLC (Other),0,0
Truck Route,1,16
Uninspected,2,13
Uninsured,2,63
Unlicensed Operator,22,272
Unregistered,4,51
Unsafe Lane Change,0,3
Other Movers,23,427
TOTAL Movers,300,4971
