63rd Precinct,,
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,0,14
Cell Phone,4,154
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,2,324
Driving Too Slow,0,0
Equipment,1,26
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,21,185
Failure to Signal,0,15
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,1
Improper Passing,0,3
Improper Taxi Pickup,0,0
Improper Turn,1,53
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,2
Obstructed Plate,1,13
One Way Street,0,3
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,6,221
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,9,49
Speeding,70,465
Spillback,0,0
TBTA Rule,0,0
Tints,0,4
TLC (Other),0,0
Truck Route,0,2
Uninspected,0,1
Uninsured,1,12
Unlicensed Operator,9,101
Unregistered,2,29
Unsafe Lane Change,0,4
Other Movers,12,311
TOTAL Movers,139,1998
