112th Precinct,,
Backing Unsafely,0,0
Bike Lane,0,4
Bus Lane,0,3
Cell Phone,7,34
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,120,924
Driving Too Slow,0,0
Equipment,6,54
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,7,127
Failure to Signal,1,4
Failure to yield Right of Way to Vehicle,1,2
Following Too Closely,0,1
Improper Passing,1,3
Improper Taxi Pickup,0,0
Improper Turn,4,155
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,2
Not Giving R of W to Veh.,1,3
Obstructed Plate,3,23
One Way Street,0,3
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,3
Red Light,16,120
School Bus,0,1
Scooter In NYC,0,0
Seat Belt,58,132
Speeding,31,336
Spillback,0,0
TBTA Rule,0,0
Tints,8,53
TLC (Other),0,0
Truck Route,1,2
Uninspected,0,6
Uninsured,3,21
Unlicensed Operator,16,107
Unregistered,5,19
Unsafe Lane Change,0,1
Other Movers,18,109
TOTAL Movers,307,2257
